TipeRumah;LuasTanah;LuasBangunan;m2;Lantai;KamarTidur;KamarMandi;Listrik;FasilitasPerumahan;carpot;harga;Universitas;TransportasiUmum;Perkantoran;Market;AksesToll;Security
5;50;30;1500;1;1;1;1300;4;1;595737000;6;2;7;7;4;1
5;70;30;2100;1;1;1;1300;4;1;767787000;6;2;7;7;4;1
5;71;30;2130;1;1;1;1300;4;1;771783000;6;2;7;7;4;1
5;50;33;1650;1;2;1;1300;4;1;665310700;6;2;7;7;4;1
6;72;46;3312;1;1;1;1300;4;1;878232000;6;2;7;7;4;1
6;95;46;4370;1;1;1;1300;4;1;1088133000;6;2;7;7;4;1
6;96;46;4416;1;1;1;1300;4;1;1094238000;6;2;7;7;4;1
6;72;71;5112;2;1;1;2200;4;1;1163835000;6;2;7;7;4;1
6;95;72;6840;2;1;1;2200;4;1;1413696000;6;2;7;7;4;1
6;96;72;6912;2;1;1;2200;4;1;1420800000;6;2;7;7;4;1
8;112;104;11648;2;1;1;2200;4;2;1822065000;6;2;7;7;4;1
8;140;105;14700;2;1;1;2200;4;2;2149626000;6;2;7;7;4;1
5;60;25;1500;1;1;1;1300;4;1;554882400;6;2;7;7;4;1
5;60;25;1500;1;1;1;1300;4;1;572404800;6;2;7;7;4;1
5;60;36;2160;1;2;1;2200;4;2;644688000;6;2;7;7;4;1
5;60;41;2460;1;2;1;2200;4;1;690597600;6;2;7;7;4;1
6;60;50;3000;2;2;2;2200;4;1;763857600;6;2;7;7;4;1
9;89;50;4450;2;2;2;2200;4;1;972892800;6;2;7;7;4;1
6;72;46;3312;1;2;1;2200;4;1;789254400;6;2;7;7;4;1
9;107;46;4922;1;2;2;2200;4;1;1037361600;6;2;7;7;4;1
9;107;46;4922;1;2;2;2200;4;1;1038338400;6;2;7;7;4;1
6;72;72;5184;2;2;2;2200;4;1;981684000;6;2;7;7;4;1
9;107;73;7811;2;2;2;2200;4;1;1237605600;6;2;7;7;4;1
9;108;73;7884;2;2;2;2200;4;1;1244443200;6;2;7;7;4;1
8;112;104;11648;2;2;2;2200;4;1;1504272000;6;2;7;7;4;1
11;153;105;16065;2;2;2;2200;4;1;1813917600;6;2;7;7;4;1
11;154;105;16170;2;2;2;2200;4;1;1820755200;6;2;7;7;4;1
7;84;92;7728;3;4;3;4400;3;1;2470460400;4;10;7;6;10;1
7;84;144;12096;3;4;3;4400;3;1;2841683841;4;10;7;6;10;1
7;88;144;12672;3;4;3;4400;3;1;2900558241;4;10;7;6;10;1
7;94;92;8648;3;4;3;4400;3;1;2587077000;4;10;7;6;10;1
8;96;161;15456;3;3;3;4400;3;1;3188137041;4;10;7;6;10;1
8;96;161;15456;3;3;4;4400;3;1;3231160641;4;10;7;6;10;1
8;120;161;19320;3;3;4;4400;3;1;3669888141;4;10;7;6;10;1
8;129;161;20769;3;3;4;4400;3;1;3775182741;4;10;7;6;10;1
8;130;161;20930;3;3;3;4400;3;1;3716874441;4;10;7;6;10;1
8;130;161;20930;3;3;3;4400;3;1;3808016541;4;10;7;6;10;1
8;131;161;21091;3;3;3;4400;3;1;3751972641;4;10;7;6;10;1
8;132;161;21252;3;3;4;4400;3;1;3803625900;4;10;7;6;10;1
8;154;161;24794;3;3;3;4400;3;1;4013510841;4;10;7;6;10;1
6;72;125;9000;2;3;3;2200;3;1;3566092188;4;11;7;6;9;1
7;84;144;12096;3;3;3;2200;3;1;2893348200;4;11;7;6;9;1
7;84;144;12096;3;3;4;2200;3;1;2913960900;4;11;7;6;9;1
7;118;144;16992;3;3;3;2200;3;1;3279328500;4;11;7;6;9;1
7;123;144;17712;3;3;3;2200;3;1;3279328500;4;11;7;6;9;1
9;144;155;22320;2;4;3;2200;4;2;3924665850;4;8;5;6;7;1
9;144;166;23904;2;4;3;2200;4;2;4042081650;4;8;5;6;7;1
8;128;129;16512;2;3;3;2200;4;2;3392948100;4;8;5;6;7;1
8;128;158;20224;2;4;3;2200;4;2;3704236500;4;8;5;6;7;1
8;169;158;26702;2;4;3;2200;4;2;3870803100;4;8;5;6;7;1
8;159;158;25122;2;4;3;2200;4;2;3794346300;4;8;5;6;7;1
8;155;158;24490;2;4;3;2200;4;2;3760213800;4;8;5;6;7;1
8;151;158;23858;2;4;3;2200;4;2;3683757000;4;8;5;6;7;1
8;178;158;28124;2;4;3;2200;4;2;3903570300;4;8;5;6;7;1
6;84;86;7224;2;3;2;2200;4;1;2774216330;3;13;8;5;11;1
7;84;101;8484;2;4;2;2200;4;1;2460448200;3;13;8;5;11;1
7;100;101;10100;2;3;2;2200;4;1;2523474000;3;13;8;5;11;1
7;112;101;11312;2;3;2;2200;4;1;2631366000;3;13;8;5;11;1
7;118;102;12036;2;3;2;2200;4;1;2677819500;3;13;8;5;11;1
7;118;102;12036;2;3;2;2200;4;1;3473294330;3;13;8;5;11;1
8;128;132;16896;2;3;3;2200;4;2;3526470000;3;11;6;4;8;1
8;128;148;18944;2;4;3;2200;4;2;3671880000;3;11;6;4;8;1
8;158;148;23384;2;4;3;2200;4;2;4087020000;3;11;6;4;8;1
9;144;166;23904;2;4;3;2200;4;2;4126980000;3;11;6;4;8;1
9;153;162;24786;2;3;2;3500;4;2;4200000000;3;11;6;5;9;1
10;193;193;37249;2;3;2;3500;4;3;4800000000;3;11;6;5;9;1
12;266;266;70756;2;4;4;3500;4;4;5900000000;3;11;6;5;9;1
12;289;289;83521;2;4;4;3500;4;4;7200000000;3;11;6;5;9;1
5;50;30;1500;1;2;1;1300;3;1;732654000;5;3;7;6;5;1
5;62;30;1860;1;2;1;1300;3;1;851733000;5;3;7;6;5;1
5;69;30;2070;1;2;1;1300;3;1;920817000;5;3;7;6;5;1
5;79;30;2370;1;2;1;1300;3;1;1189881000;5;3;7;6;5;1
5;49;41;2009;2;2;2;2200;3;1;913545000;5;3;7;6;5;1
5;50;42;2100;2;2;2;2200;3;1;931725000;5;3;7;6;5;1
5;51;42;2142;2;2;2;2200;3;1;943542000;5;3;7;6;5;1
5;52;42;2184;2;2;2;2200;3;1;955359000;5;3;7;6;5;1
5;157;59;9263;2;2;2;2200;3;1;2297043000;5;3;7;6;5;1
5;57;43;2451;2;2;2;2200;3;1;1020807000;5;3;7;6;5;1
5;58;43;2494;2;2;2;2200;3;1;1032624000;5;3;7;6;5;1
5;59;48;2832;2;2;2;2200;3;1;1101708000;5;3;7;6;5;1
5;60;49;2940;2;2;2;2200;3;1;1139886000;5;3;7;6;5;1
5;62;51;3162;2;2;2;2200;3;1;1336230000;5;3;7;6;5;1
5;61;43;2623;2;2;2;2200;3;1;1068984000;5;3;7;6;5;1
5;58;45;2610;2;2;2;2200;3;1;1049895000;5;3;7;6;5;1
5;54;43;2322;2;2;2;2200;3;1;988083000;5;3;7;6;5;1
5;69;42;2898;2;2;2;2200;3;1;1150794000;5;3;7;6;5;1
5;79;42;3318;2;2;2;2200;3;1;1266237000;5;3;7;6;5;1
5;76;39;2964;2;2;2;2200;3;1;1208061000;5;3;7;6;5;1
5;118;43;5074;2;2;2;2200;3;1;1723464000;5;3;7;6;5;1
5;100;42;4200;2;2;2;2200;3;1;1512576000;5;3;7;6;5;1
5;64;42;6336;2;2;2;2200;3;1;1095345000;5;3;7;6;5;1
5;99;43;4257;2;2;2;2200;3;1;1508031000;5;3;7;6;5;1
5;71;43;3053;2;2;2;2200;3;1;1184427000;5;3;7;6;5;1
5;77;46;3542;2;2;2;2200;3;1;1278054000;5;3;7;6;5;1
5;94;46;4324;2;2;2;2200;3;1;1474398000;5;3;7;6;5;1
5;60;46;2760;2;2;2;2200;3;1;1079892000;5;3;7;6;5;1
6;72;54;3888;2;3;2;2200;3;1;1285326000;5;3;7;6;5;1
6;107;54;5778;2;3;2;2200;3;1;1697103000;5;3;7;6;5;1
6;113;54;6102;2;3;2;2200;3;1;1767096000;5;3;7;6;5;1
